City,Population,Longitude,Lattitude,Name
Vienna,1691468,16.37208,48.20849,Austria
Sarajevo,696731,18.35644,43.84864,Bosnia and Herzegovina
Brussels,1019022,4.34878,50.85045,Belgium
Prague,1165581,14.42076,50.08804,Czech Republic
Berlin,3426354,13.41053,52.52437,Germany
Madrid,3255944,-3.70256,40.4165,Spain
Paris,2138551,2.3488,48.85341,France
Zagreb,698966,15.97798,45.81444,Croatia
Budapest,1741041,19.03991,47.49801,Hungary
Turin,870456,7.68682,45.07049,Italy
Rome,2318895,12.51133,41.89193,Italy
Milan,1236837,9.18951,45.46427,Italy
Lisbon,517802,-9.13333,38.71667,Portugal
