Year,Temperature
1901,19.172578333333327
1902,18.16992547619048
1903,18.60834023809524
1904,18.787628809523813
1905,18.93697595238096
1906,18.976940476190475
1907,18.38091428571429
1908,18.336222380952385
1909,18.929633095238096
1910,18.669168095238096
1911,19.65878285714285
1912,18.03378119047619
1913,18.470545714285716
1914,18.982622619047618
1915,18.90387976190476
1916,18.582915714285708
1917,18.991249285714282
1918,18.909951190476185
1919,18.8290330952381
1920,18.255690714285716
1921,18.909804285714284
1922,18.52793904761905
1923,18.73000214285714
1924,18.391371190476196
1925,19.09994642857143
1926,19.119076190476193
1927,19.185343333333336
1928,18.953608095238096
1929,18.898196904761907
1930,18.979316904761905
1931,18.716498333333337
1932,19.61622880952381
1933,19.477900952380956
1934,19.095878095238096
1935,19.052941190476183
1936,19.05173357142857
1937,19.630062857142853
1938,19.183484285714282
1939,19.65542595238095
1940,18.64348547619048
1941,19.012532380952376
1942,19.374662142857147
1943,19.293503333333334
1944,20.132751190476185
1945,19.542883809523808
1946,19.137357857142863
1947,19.749056666666668
1948,18.928100238095233
1949,19.061789285714287
1950,19.278215952380954
1951,19.49476619047619
1952,19.432657619047614
1953,19.55080142857143
1954,18.783570714285712
1955,19.350673095238097
1956,18.25475119047619
1957,19.026715952380954
1958,19.238021904761904
1959,19.378784523809525
1960,19.026351190476188
1961,19.315424285714286
1962,19.04604857142857
1963,19.204706666666663
1964,18.853654047619045
1965,18.655195238095242
1966,18.692642857142854
1967,19.14479
1968,18.946845
1969,19.177586428571434
1970,19.05308142857143
1971,19.1731130952381
1972,18.76612666666667
1973,19.18611357142857
1974,19.027901666666665
1975,19.46879595238095
1976,19.00044476190476
1977,18.775508571428574
1978,18.50813119047619
1979,19.04671857142857
1980,19.330635714285712
1981,19.217120238095237
1982,19.476327857142856
1983,19.586271904761908
1984,18.92374404761905
1985,18.978593333333336
1986,19.027425476190473
1987,19.026958809523816
1988,19.3854669047619
1989,19.529449761904765
1990,20.073849761904764
1991,19.868739047619048
1992,19.752651666666665
1993,19.138035714285714
1994,19.905985952380952
1995,19.85148238095238
1996,19.566851666666672
1997,20.50857928571428
1998,19.740853571428577
1999,19.528630714285715
2000,19.751476904761905
2001,20.375902380952386
2002,20.170120952380948
2003,20.389097857142854
2004,20.013460714285713
2005,19.554517142857144
2006,19.50898547619048
2007,19.303071428571428
2008,19.647524761904762
2009,20.447630714285715
2010,19.66123071428571
2011,19.887192857142864
2012,20.273951666666672
2013,19.85882619047619
2014,19.744070714285716
2015,20.809534285714285
2016,20.279030952380953
